,Formula,Name,E,xyz_idx
94,CO,Carbon monoxide,1087.57,[0]
95,CO2,Carbon dioxide,1633.95,[11]
96,COF2,Carbonyl fluoride,1762.1,[40]
97,COS,Carbonyl sulfide,1406.74,[72]
98,CS,Carbon monosulfide,719.47,[1]
99,CS2,Carbon disulfide,1174.07,[12]
100,FCl,Chlorine monofluoride,262.43,[80]
101,F2,Difluorine,162.31,[114]
102,F3Cl,Chlorine trifluoride,537.44,[44]
103,HCl,Hydrogen chloride,449.58,[20]
104,HF,Hydrogen fluoride,593.02,[3]
105,HOCl,Hypochlorous acid,695.38,[46]
106,HO,Hydroxyl radical,448.3,[107]
107,HS,Mercapto radical,366.55,[6]
108,H2,Dihydrogen,457.73,[2]
109,H2O2,Hydrogen peroxide,1126.34,[43]
110,H2O,Water,974.94,[15]
111,H2S,Hydrogen sulfide,768.72,[16]
112,LiF,Lithium fluoride,583.99,[25]
113,LiH,Lithium hydride,242.27,[26]
114,Li2,Dilithium,101.24,[24]
115,Na2,Disodium,71.78,[29]
116,NaCl,Sodium chloride,412.96,[47]
117,NF3,Trifluoroamine,863.68,[22]
118,NH2,Amino radical,762.95,[122]
119,NH3,Ammonia,1245.99,[58]
120,NH,Imidogen,347.02,[84]
121,NO2,Nitrogen dioxide,954.10,[23]
122,NOCl,Nitrosyl chloride,803.43,[45]
123,NO,Nitric oxide,639.28,[83]
124,N2,Dinitrogen,955.82,[113]
125,N2H4,Hydrazine,1832.69,[52]
126,N2O,Nitrous oxide,1133.70,[21]
127,OCl,Monochlorine monoxide,271.20,[88]
128,OF2,Difluorine monoxide,392.68,[13]
129,OS,Sulfur monoxide,528.72,[7]
130,O2,Dioxygen,505.88,[121]
131,O2S,Sulfur dioxide,1091.61,[30]
132,O3,Ozone,615.78,[144]
133,P2,Diphosphorus,489.29,[4]
134,PF3,Phosphorus trifluoride,1530.92,[27]
135,PH2,Phosphino radical,645.47,[117]
136,PH3,Phosphane,1012.24,[28]
137,S2,Disulfur,433.94,[5]
138,SiCH6,Methylsilane,2631.54,[115]
139,SiCl4,Silicon tetrachloride,1627.56,[75]
140,SiF4,Silicon tetrafluoride,2419.74,[48]
141,SiH2,Singlet silylene,643.11,"[93, 94]"
142,SiH2,Triplet silylene,555.72,"[93, 94]"
143,SiH3,Silyl radical,953.44,[49]
144,SiH4,Silane,1357.91,[50]
145,SiO,Silicon monoxide,809.19,[31]
146,Si2H6,Disilane,2240.54,[74]
147,Si2,Disilicon,307.75,[110]
